"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"ru	- Скажите"	 товарищи	 вы тоже за освобождение труда и мир без насилия	 неравенства и эксплуатации?..  #ThatThat #UkraineWar #Ukraine  #LabourDay #doggy #UkraineRussiaWar https://t.co/TJKu7rgEtc					
"uk	RT @mil_in_ua: 🇺🇸Американці гвардійці навчають 🇺🇦українських військових в 🇩🇪Німеччині  Деталі: https://t.co/3UCRuEep0T  #Україна #Ukraine #…"								
"uk	RT @mil_in_ua: 🇺🇦Морпіхи показали як знищують техніку ворога  Бійці 503-го батальйону морської піхоти знищили дві БМП росіян.  Деталі:  htt…"								
"uk	RT @mil_in_ua: 🇺🇦 Українські сили знищили за допомогою американської зброї сучасну російську бронетехніку  По бронетехніці росіян влучно ві…"								
"ru	""RT @AMateic: Украинские боевики не выпускали людей с """"Азовстали"""""	 им пришлось выходить самим	 рассказала РИА Новости жительница Мариуполя	"…"""					
"uk	RT @_Denyshchenko: Сьогоднішній пост про сміливих та відважних хлопців з Попасної: Олександра Прокопенко"	 Віталія Трофименко та Михаїла Пан…							
"uk	RT @CanadaArcadia: Якщо у Вас нестандартна ситуація"	 яка потребує юридичного втручання	 тоді звертайтеся до ліцензійного консультанта В. Па…						
"uk	Увімкнув арестовича у Фейгіна. «оппозиция чего-то там блеяла…» Вимкнув  арестовича #Ukraine #Україна #Єдність #арестович"								
"uk	Отже"	війна!🇺🇦#UkraineUnderAttaсk #Украина #UkraineRussianWar #StopWar #Ukraine #UkraineRussiaConflict #UkraineWar  Чи замислюєшся Ти	 чому у світі відбуваються війни	 чому люди шкодять один одному і чому нас оточує стільки зла? І чому Бог це допускає?👇  https://t.co/ap5LGjclLv					
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України взяли на озброєння трофейну російську броньовану вантажівку Урал «Торнадо-У»  Автомобіль допомагає у…"								
"uk	Отже"	війна!🇺🇦#UkraineRussianWar #Украина #Ukraine #UkraineWar #UkraineRussiaConflict #StopWar #UkraineUnderAttaсk  Чи замислюєшся Ти	 чому у світі відбуваються війни	 чому люди шкодять один одному і чому нас оточує стільки зла? І чому Бог це допускає?👇  https://t.co/hDT4ue5fdY					
"uk	RT @mil_in_ua: 🇺🇸🇺🇦В США відвантажують чергову партію допомоги Україні  Цього разу це снаряди для гаубиць калібру 155 мм  Деталі: https://t…"								
"ru	RT @xprzemo: #Российский солдат погиб во время съёмки видео  Он рассказывал о том"	 насколько успешно они выполнили основную задачу. Его жиз…							
"uk	""RT @mil_in_ua: 🇺🇦Сили оборони України ліквідували батарею ворожих РСЗВ """"Ураган""""  Військові 30 окремої механізованої бригади ім. князя Костя…"""								
"ru	""RT @protest_da: Эксклюзивные кадры проведения операции по спасению людей в Мариуполе от полка """"Азов""""  #Украина #Ukraine #UkraineWar #Russia…"""								
